               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.048401,            0.058891,                   0,             0.53649,             0.69355,             0.57101,             0.23008,              0.0479,             0.01511,                   0,            0.004357,            0.004357,            0.004357
                 116,             0.05101,            0.053791,                   0,             0.61411,             0.74439,             0.67792,             0.26086,            0.046841,            0.014482,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.051389,            0.062846,                   0,             0.73681,             0.77419,               0.722,             0.29086,             0.04654,            0.013826,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.048373,            0.058163,                   0,             0.77397,             0.71806,             0.72346,             0.30374,            0.047879,            0.013762,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.048134,            0.053382,                   0,             0.59432,             0.69355,             0.63212,             0.29525,            0.049439,            0.013861,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.047886,            0.058789,                   0,             0.56929,             0.69355,             0.60773,              0.2619,             0.05041,            0.013878,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.049251,            0.056837,                   0,             0.59616,             0.64516,             0.61741,             0.22651,            0.050582,            0.014441,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.049274,             0.05862,                   0,             0.66214,             0.58065,             0.58225,             0.23382,            0.050069,             0.01465,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.051139,            0.059247,                   0,             0.61265,             0.66331,             0.64274,             0.23384,            0.049937,            0.014578,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.049293,            0.051923,                   0,             0.55624,             0.66129,               0.622,             0.24109,             0.04974,            0.014862,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.048853,            0.060535,                   0,             0.64657,             0.56068,             0.59079,             0.24044,             0.04993,            0.015532,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.049455,            0.060929,                   0,             0.53002,             0.65487,             0.58298,             0.25595,            0.049393,            0.015665,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,             0.05097,            0.055325,                   0,             0.62122,             0.69355,             0.62174,             0.25108,            0.049058,            0.015055,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.049889,            0.059797,                   0,             0.69099,             0.62903,             0.61506,             0.26901,            0.049369,            0.014891,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,             0.04659,            0.056218,                   0,             0.66416,             0.67742,             0.62871,             0.26178,            0.049617,            0.015303,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.045668,            0.054147,                   0,             0.73541,             0.67742,             0.68104,             0.27079,            0.049102,            0.014946,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.049075,            0.056138,                   0,             0.62994,             0.66129,             0.59238,             0.25096,            0.049658,            0.015186,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.046128,            0.050362,                   0,             0.61709,             0.64516,             0.57652,             0.23857,            0.050406,            0.015381,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.051072,             0.05892,                   0,             0.56785,             0.64516,             0.51502,             0.21643,             0.04971,            0.015238,                   0,            0.003466,            0.003466,            0.003466
                 134,             0.04727,            0.053292,                   0,             0.62315,             0.64015,             0.50654,             0.20881,            0.051514,            0.015095,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.050985,             0.05254,                   0,             0.62827,             0.69355,             0.59987,             0.24933,            0.049718,            0.014879,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.050096,             0.05769,                   0,              0.5858,             0.66129,             0.63719,             0.26356,            0.049984,            0.014992,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.049463,            0.059958,                   0,             0.63508,             0.75806,             0.65216,             0.28596,            0.048788,            0.014496,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.047892,            0.054286,                   0,             0.69326,             0.69262,             0.64374,             0.29632,            0.048479,            0.014441,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.046243,            0.056968,                   0,             0.63646,             0.70599,             0.63456,             0.30414,            0.048122,            0.014269,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.048489,            0.057554,                   0,             0.69851,             0.70968,             0.66641,             0.29734,            0.048014,            0.014172,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.046233,            0.056405,                   0,             0.74368,              0.6129,             0.61156,             0.25176,            0.048914,            0.014755,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.046508,            0.049824,                   0,             0.69902,             0.59938,             0.61856,             0.26382,            0.049148,            0.014782,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.048171,            0.051743,                   0,              0.6949,              0.6129,             0.63833,              0.2895,            0.049201,            0.014259,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.045457,            0.053555,                   0,             0.68736,             0.72581,             0.70239,             0.30114,            0.049545,            0.014091,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.048575,            0.054801,                   0,              0.7005,             0.71684,             0.67653,             0.29275,            0.049339,            0.014017,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.046684,            0.057607,                   0,             0.71921,             0.66129,             0.65543,             0.28457,            0.049965,            0.014008,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.047551,            0.056654,                   0,             0.62116,              0.6129,             0.56451,             0.25186,            0.051937,            0.014431,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.047279,            0.055256,                   0,              0.6127,             0.68896,             0.59256,             0.25896,            0.052096,            0.014713,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.046832,            0.050644,                   0,             0.62676,             0.67742,             0.60057,             0.26693,            0.050391,            0.014574,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.049014,            0.058915,                   0,              0.6384,             0.74039,             0.64355,             0.28362,            0.050415,            0.014296,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.045936,            0.055907,                   0,             0.61805,             0.67742,             0.64612,             0.28258,            0.049402,            0.015011,                   0,            0.002575,            0.002575,            0.002575
